"county_fips_code","county_name","date","confirmed_cases","deaths","total_pop","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","first_confirmed_case_date","population_density","case_fatality_rate","infection_rate","mortality_rate","avg_activity_change_7_days","new_deaths","new_confirmed_cases"
"06027","Inyo County",2020-11-17,283,16,18195,-21,NA,-20,NA,-20,NA,2020-03-22,0.367403318358212,5.65371024734982,0.0155537235504259,0.000879362462214894,0,93,17583
"06027","Inyo County",2020-11-18,286,16,18195,-23,NA,-13,NA,-24,NA,2020-03-22,0.367403318358212,5.59440559440559,0.0157186040120912,0.000879362462214894,0,103,17068
"06027","Inyo County",2020-11-19,287,16,18195,-18,NA,-20,NA,-21,NA,2020-03-22,0.367403318358212,5.57491289198606,0.0157735641659797,0.000879362462214894,0,76,17167
"06027","Inyo County",2020-11-20,289,16,18195,-23,NA,-11,NA,-22,NA,2020-03-22,0.367403318358212,5.5363321799308,0.0158834844737565,0.000879362462214894,0,113,16467
"06027","Inyo County",2020-11-21,291,16,18195,-8,NA,-3,NA,-13,NA,2020-03-22,0.367403318358212,5.49828178694158,0.0159934047815334,0.000879362462214894,0,80,17451
"06027","Inyo County",2020-11-22,293,16,18195,-13,NA,40,NA,-17,NA,2020-03-22,0.367403318358212,5.46075085324232,0.0161033250893102,0.000879362462214894,0,95,12271
"06027","Inyo County",2020-11-23,295,16,18195,-8,NA,39,NA,-26,NA,2020-03-22,0.367403318358212,5.42372881355932,0.0162132453970871,0.000879362462214894,0,105,10191
"06027","Inyo County",2020-11-24,302,16,18195,10,NA,39,NA,-26,NA,2020-03-22,0.367403318358212,5.29801324503311,0.0165979664743061,0.000879362462214894,0,100,21030
"06027","Inyo County",2020-11-25,309,16,18195,13,NA,52,NA,-36,NA,2020-03-22,0.367403318358212,5.17799352750809,0.0169826875515251,0.000879362462214894,0,111,20578
"06027","Inyo County",2020-11-26,310,16,18195,-33,NA,46,NA,-71,NA,2020-03-22,0.367403318358212,5.16129032258065,0.0170376477054136,0.000879362462214894,0,129,20691
"06027","Inyo County",2020-11-27,312,16,18195,-9,NA,77,NA,-51,NA,2020-03-22,0.367403318358212,5.12820512820513,0.0171475680131904,0.000879362462214894,0,108,9179
"06027","Inyo County",2020-11-28,313,16,18195,15,NA,33,NA,-17,NA,2020-03-22,0.367403318358212,5.11182108626198,0.0172025281670789,0.000879362462214894,0,119,17990
"06027","Inyo County",2020-11-29,319,16,18195,-5,NA,28,NA,-21,NA,2020-03-22,0.367403318358212,5.01567398119122,0.0175322890904095,0.000879362462214894,0,161,18104
"06027","Inyo County",2020-11-30,327,16,18195,-26,NA,-18,NA,-24,NA,2020-03-22,0.367403318358212,4.89296636085627,0.0179719703215169,0.000879362462214894,0,128,16033
"06027","Inyo County",2020-12-01,342,16,18195,-25,NA,-18,NA,-25,NA,2020-03-22,0.367403318358212,4.67836257309941,0.0187963726298434,0.000879362462214894,0,162,32556
"06027","Inyo County",2020-12-02,347,16,18195,-24,NA,-14,NA,-25,NA,2020-03-22,0.367403318358212,4.61095100864553,0.0190711733992855,0.000879362462214894,0,159,34368
"06027","Inyo County",2020-12-03,354,16,18195,-25,NA,-22,NA,-23,NA,2020-03-22,0.367403318358212,4.51977401129944,0.0194558944765045,0.000879362462214894,0,176,33453
"06027","Inyo County",2020-12-04,361,16,18195,-34,NA,-23,NA,-25,NA,2020-03-22,0.367403318358212,4.43213296398892,0.0198406155537236,0.000879362462214894,0,217,31818
"06027","Inyo County",2020-12-05,364,16,18195,-27,NA,-27,NA,-14,NA,2020-03-22,0.367403318358212,4.3956043956044,0.0200054960153888,0.000879362462214894,0,195,31821
"06027","Inyo County",2020-12-06,372,16,18195,-34,NA,-14,NA,-22,NA,2020-03-22,0.367403318358212,4.3010752688172,0.0204451772464963,0.000879362462214894,0,237,24305
"06027","Inyo County",2020-12-07,377,16,18195,-36,NA,-27,NA,-27,NA,2020-03-22,0.367403318358212,4.24403183023873,0.0207199780159384,0.000879362462214894,0,234,18256
